"","Gene","control_1","control_2","control_3","RNAi_1","RNAi_2","RNAi_3"
"1","7SLRNA:CR32864",0,0,1,0,0,0
"2","a",827,657,691,890,631,597
"3","abd-A",4754,3866,5866,8296,7137,6244
"4","Abd-B",994,752,1351,2414,2000,1850
"5","Abl",6897,5862,7178,11089,9546,8474
"6","abo",758,592,738,662,480,600
"8","Ace",5212,4757,5830,13737,9473,10037
"9","acj6",157,136,209,329,328,262
"10","Acph-1",1110,959,1242,1530,1127,1462
"11","nAChRα1",1775,1620,2742,4700,4180,3376
"12","mAChR-A",1320,1058,2135,2030,2145,1588
"13","nAChRβ1",1840,1669,3671,3195,3133,2776
"14","nAChRα2",993,930,1479,2544,2282,2133
"15","Act5C",146018,131631,150893,251810,200115,230984
"16","Act42A",38047,31921,34063,54470,42868,45558
"17","Act57B",1895,1435,4524,2008,1990,2049
"18","Act79B",22,34,34,47,40,37
"19","Act87E",279,179,468,402,218,251
"20","Act88F",11,25,20,23,22,24
"21","Pfas",6766,5407,5921,4517,3656,3665
"22","Gart",10591,8253,9397,7302,5708,6158
"25","adp",1013,899,1205,1190,1001,1009
"26","al",175,107,135,190,179,42
"27","Mps1",2360,1907,2218,1630,1089,1241
"28","Ald1",27687,19815,46734,18064,17613,18073
"29","Ama",14480,13177,15370,20975,13125,19907
"30","amd",9,8,16,15,14,21
"31","amx",466,352,404,448,328,538
"32","Amy-d",6,11,257,14,14,21
"33","Amy-p",13,23,208,32,39,61
"34","AnxB9",6734,5812,8985,12125,10265,13545
"35","AnxB10",1027,882,1287,1930,1642,2347
"36","dyw",103,84,96,112,57,102
"37","Anp",0,0,0,2,0,5
"38","aop",1638,1478,1549,1829,1712,1412
"39","RpLP0",113523,96870,117187,92858,65019,113813
"40","Appl",13241,12221,19256,30210,28971,24308
"41","Aprt",479,386,489,467,324,593
"42","bru1",596,542,882,1257,1216,1092
"43","Arl1",1836,1679,1919,2077,1580,2454
"44","Argk1",31702,25121,37065,38935,31298,38912
"45","arm",16040,14297,17423,22313,19583,19230
"46","arr",2258,1995,2330,2422,2245,1707
"47","Arr1",1,5,1,2,0,1
"50","ash2",5287,4376,5401,3748,2831,3276
"51","asp",13978,11249,13741,8896,6260,6014
"52","aub",465,353,359,566,347,424
"53","aurA",2057,1844,1984,1668,1069,1588
